"nom_com";"city";"cod_2002";"cod_2008";"cod_2012";"cod_2017"
"Arica";"Arica";1201;15101;15101;15101
"Iquique";"Iquique - Alto Hospicio";1101;1101;1101;1101
"Alto Hospicio";"Iquique - Alto Hospicio";1107;1107;1107;1107
"Antofagasta";"Antofagasta";2101;2101;2101;2101
"Copiapó";"Copiapo";3101;3101;3101;3101
"La Serena";"Gran Coquimbo";4101;4101;4101;4101
"Coquimbo";"Gran Coquimbo";4102;4102;4102;4102
"Valparaíso";"Valparaíso Metropolitano";5101;5101;5101;5101
"Concón";"Valparaíso Metropolitano";5103;5103;5103;5103
"Quilpué";"Valparaíso Metropolitano";5106;5106;5801;5801
"Villa Alemana";"Valparaíso Metropolitano";5108;5108;5804;5804
"Viña del Mar";"Valparaíso Metropolitano";5109;5109;5109;5109
"Rancagua";"Rancagua - Machalí";6101;6101;6101;6101
"Machalí";"Rancagua - Machalí";6108;6108;6108;6108
"Talca";"Talca - Maule";7101;7101;7101;7101
"Maule";"Talca - Maule";7105;7105;7105;7105
"Concepción";"Gran Concepcion";8101;8101;8101;8101
"Coronel";"Gran Concepcion";8102;8102;8102;8102
"Chiguayante";"Gran Concepcion";8103;8103;8103;8103
"Lota";"Gran Concepcion";8106;8106;8106;8106
"Penco";"Gran Concepcion";8107;8107;8107;8107
"San Pedro de la Paz";"Gran Concepcion";8108;8108;8108;8108
"Talcahuano";"Gran Concepcion";8110;8110;8110;8110
"Tomé";"Gran Concepcion";8111;8111;8111;8111
"Hualpén";"Gran Concepcion";8112;8112;8112;8112
"Chillán";"Chillán";8401;8401;8401;16101
"Bulnes";"Chillán";8402;8402;8402;16102
"Chillán Viejo";"Chillán";8406;8406;8406;16103
"San Carlos";"Chillán";8416;8416;8416;16301
"San Nicolás";"Chillán";8419;8419;8419;16305
"Temuco";"Temuco";9101;9101;9101;9101
"Padre Las Casas";"Temuco";9112;9112;9112;9112
"Valdivia";"Valdivia";10501;14101;14101;14101
"Puerto Montt";"Puerto Montt - Varas";10101;10101;10101;10101
"Puerto Varas";"Puerto Montt - Varas";10109;10109;10109;10109
"Coihaique";"Coyhaique";11101;11101;11101;11101
"Punta Arenas";"Punta Arenas";12101;12101;12101;12101
"Santiago";"Gran Santiago";13101;13101;13101;13101
"Cerrillos";"Gran Santiago";13102;13102;13102;13102
"Cerro Navia";"Gran Santiago";13103;13103;13103;13103
"Conchalí";"Gran Santiago";13104;13104;13104;13104
"El Bosque";"Gran Santiago";13105;13105;13105;13105
"Estación Central";"Gran Santiago";13106;13106;13106;13106
"Huechuraba";"Gran Santiago";13107;13107;13107;13107
"Independencia";"Gran Santiago";13108;13108;13108;13108
"La Cisterna";"Gran Santiago";13109;13109;13109;13109
"La Florida";"Gran Santiago";13110;13110;13110;13110
"La Granja";"Gran Santiago";13111;13111;13111;13111
"La Pintana";"Gran Santiago";13112;13112;13112;13112
"La Reina";"Gran Santiago";13113;13113;13113;13113
"Las Condes";"Gran Santiago";13114;13114;13114;13114
"Lo Barnechea";"Gran Santiago";13115;13115;13115;13115
"Lo Espejo";"Gran Santiago";13116;13116;13116;13116
"Lo Prado";"Gran Santiago";13117;13117;13117;13117
"Macul";"Gran Santiago";13118;13118;13118;13118
"Maipú";"Gran Santiago";13119;13119;13119;13119
"Ñuñoa";"Gran Santiago";13120;13120;13120;13120
"Pedro Aguirre Cerda";"Gran Santiago";13121;13121;13121;13121
"Peñalolén";"Gran Santiago";13122;13122;13122;13122
"Providencia";"Gran Santiago";13123;13123;13123;13123
"Pudahuel";"Gran Santiago";13124;13124;13124;13124
"Quilicura";"Gran Santiago";13125;13125;13125;13125
"Quinta Normal";"Gran Santiago";13126;13126;13126;13126
"Recoleta";"Gran Santiago";13127;13127;13127;13127
"Renca";"Gran Santiago";13128;13128;13128;13128
"San Joaquín";"Gran Santiago";13129;13129;13129;13129
"San Miguel";"Gran Santiago";13130;13130;13130;13130
"San Ramón";"Gran Santiago";13131;13131;13131;13131
"Vitacura";"Gran Santiago";13132;13132;13132;13132
"Puente Alto";"Gran Santiago";13201;13201;13201;13201
"San Bernardo";"Gran Santiago";13401;13401;13401;13401
